psu,strata_id,Location.name.in.English,Location.name.in.Arabic,COD_Subdistrict,COD_District,COD_Governorate,Latitude,Longitude,SumDist,proba,num_households,num_surveys
148,Al-Falluja,Al-waheda,حي الوحدة,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.36026624,43.7779121,94177,0.023646963,2227,6
15674,Dibis,Hay Al-Shuhadaa,حي الشهداء,Markaz Dibis,Dibis,Kirkuk,35.6705349,44.06921792,1206,0.012437811,15,6
14375,Dibis,Altun Kupri Center,مركز ناحية التون كوبري,Altun Qupri,Dibis,Kirkuk,35.75626625,44.13871317,1206,0.718076285,866,150
33384,Dibis,Hay Diyarbakir,حي دياربكر,Markaz Dibis,Dibis,Kirkuk,35.66829,44.08388662,1206,0.020729685,25,6
15463,Dibis,Qutan village,قرية قوتان,Markaz Dibis,Dibis,Kirkuk,35.60376,44.23055028,1206,0.066334992,80,12
33383,Dibis,Hay Kurdistan,حي كوردستان,Markaz Dibis,Dibis,Kirkuk,35.6753,44.06739441,1206,0.033167496,40,6
14407,Dibis,Qashqaiyah village,قرية قوشقاية,Markaz Dibis,Dibis,Kirkuk,35.60065,44.1969448,1206,0.111940299,135,12
29631,Daquq,Arab Koy village,قرية عرب كوي,Markaz Daquq,Daquq,Kirkuk,35.066888,44.38804473,975,0.076923077,75,6
15139,Daquq,Khaled bin Waleed village,قرية خالد بن الوليد,Markaz Daquq,Daquq,Kirkuk,35.20333,44.36306564,975,0.097435897,95,12
14864,Daquq,Albu Mahammad,قرية البو محمد,Markaz Daquq,Daquq,Kirkuk,35.05,44.36982716,975,0.025641026,25,6
14788,Daquq,Wahda village,قرية الوحدة,Markaz Daquq,Daquq,Kirkuk,35.210085,44.3801614,975,0.092307692,90,24
125,Al-Falluja,Hay Al Dhubbat,حي الضباط,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.35742,43.79284842,94177,0.038884229,3662,6
21814,Daquq,Saad Bin Waqqas village,قرية سعد بن الوقاص,Markaz Daquq,Daquq,Kirkuk,35.20031,44.3583072,975,0.215384615,210,12
31725,Daquq,Hay Gulan,حي كولان,Markaz Daquq,Daquq,Kirkuk,35.14432821,44.4556447,975,0.092307692,90,12
33477,Daquq,Hay Runaki / Daquq,حي روناكي \ داقوق,Markaz Daquq,Daquq,Kirkuk,35.14833029,44.45463889,975,0.082051282,80,12
14786,Daquq,Fareeq Awa,حي فريق اوه,Markaz Daquq,Daquq,Kirkuk,35.13463604,44.43721897,975,0.123076923,120,18
14763,Kirkuk,Rahim Awa,رحيم اوه,Markaz Kirkuk,Kirkuk,Kirkuk,35.4974936,44.39561969,27113,0.202854719,5500,6
33112,Daquq,Al-Rashad center,مركز الرشاد,Al-Rashad,Daquq,Kirkuk,35.13521,44.08200978,975,0.041025641,40,6
28410,Kirkuk,Sekanyan,سيكانيان,Markaz Kirkuk,Kirkuk,Kirkuk,35.55411939,44.36025754,27113,0.001844134,50,6
31726,Kirkuk,Al-Qadisssiya(Rabareen) first,حي الانتفاضة-رابرين-(القادسية سابقا) اول,Markaz Kirkuk,Kirkuk,Kirkuk,35.41471699,44.41914669,27113,0.036882676,1000,6
15442,Kirkuk,Shorawo,شوراو,Markaz Kirkuk,Kirkuk,Kirkuk,35.52501522,44.38484303,27113,0.055324014,1500,6
14567,Daquq,Al-Dookmat Al-Kabira village,قرية الدوكمات الكبيرة,Al-Rashad,Daquq,Kirkuk,35.09175,44.0534674,975,0.075897436,74,6
299,Al-Falluja,Al-Julan,الجولان,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.36393445,43.76757768,94177,0.030134746,2838,6
21702,Kirkuk,Hay Azadi,حي ازادي,Markaz Kirkuk,Kirkuk,Kirkuk,35.48144527,44.41860388,27113,0.147530705,4000,24
31727,Kirkuk,Al-Qadisssiya(Rabareen) seconad,حي الانتفاضة-رابرين-(القادسية سابقا) ثاني,Markaz Kirkuk,Kirkuk,Kirkuk,35.42690647,44.42125977,27113,0.040570944,1100,6
14530,Kirkuk,Panja Ali,بنجه علي,Markaz Kirkuk,Kirkuk,Kirkuk,35.43692001,44.42763139,27113,0.164127909,4450,12
14984,Kirkuk,Al Taakhi,حي التأخي,Markaz Kirkuk,Kirkuk,Kirkuk,35.4223312,44.3524948,27113,0.005532401,150,6
22289,Kirkuk,Al Faylaq-Mahala 5,حي الفيلق-5,Markaz Kirkuk,Kirkuk,Kirkuk,35.47617352,44.36205712,27113,0.041493011,1125,6
33467,Al-Falluja,Hay Al Mansour Tawzi Al Jadeed,حي المنصور / التوزيع الجديد,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.32431,43.7962406,94177,0.006052433,570,6
24084,Kirkuk,Al Tadamon(Hawkari),حي التضامن-هاوكاري-,Markaz Kirkuk,Kirkuk,Kirkuk,35.41012372,44.38730494,27113,0.009220669,250,6
25556,Kirkuk,Darwaza,دروازة,Markaz Kirkuk,Kirkuk,Kirkuk,35.47339866,44.41625482,27113,0.110648029,3000,18
25708,Kirkuk,Al Hendia,قرية الهندية,Al-Multaka,Kirkuk,Kirkuk,35.45524257,44.17384937,27113,0.003135027,85,6
324,Al-Falluja,Albu Aifan,البوعيفان,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.30279302,43.75301646,94177,0.009248543,871,6
34010,Al-Baaj,Al-Dubaat,حي الضباط,Markaz Al-Baaj,Al-Baaj,Ninewa,36.042967,41.711898,6162,0.03034729,187,6
34014,Al-Baaj,Hateen,حي حطين,Markaz Al-Baaj,Al-Baaj,Ninewa,36.04616,41.722867,6162,0.0561506,346,6
33431,Al-Baaj,Al-Rashediyah,الرشيدية,Al-Qahtanya,Al-Baaj,Ninewa,36.125506,41.572871,6162,0.006815969,42,6
33854,Al-Baaj,Maisaloun,مجمع ميسلون,Al-Qahtanya,Al-Baaj,Ninewa,36.272,41.367502,6162,0.044628367,275,6
34082,Al-Baaj,Al-ayaine,العواني,Markaz Al-Baaj,Al-Baaj,Ninewa,36.170522,41.345382,6162,0.003245699,20,6
33856,Al-Baaj,Sheekht Al-Majfal Village,قرية شيخة المجفل ,Markaz Al-Baaj,Al-Baaj,Ninewa,36.083477,41.544336,6162,0.004057124,25,6
34027,Al-Baaj,mushirfa Al kuffa,مشيرفه الكوفه,Markaz Al-Baaj,Al-Baaj,Ninewa,36.040514,41.788988,6162,0.009412528,58,6
34008,Al-Baaj,Al-Risalah,حي الرساله,Markaz Al-Baaj,Al-Baaj,Ninewa,36.044509,41.714508,6162,0.057935735,357,6
34009,Al-Baaj,Al Intisar,حي الانتصار,Markaz Al-Baaj,Al-Baaj,Ninewa,36.049594,41.71278,6162,0.064913989,400,6
33915,Al-Baaj,Thry algarah,ثري الكراح,Markaz Al-Baaj,Al-Baaj,Ninewa,35.91231,42.185485,6162,0.008925673,55,6
22134,Al-Falluja,Albu Khalifa,البوخليفة ,Al-Garma,Al-Falluja,Al-Anbar,33.43254355,43.94894634,94177,0.022521422,2121,6
