type,name,label::English,label::Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,,,,,,,,,,,
calculate,tot_female,,,,,,,,,,,sum(${female_2})+sum(${female_3_5})+sum(${female_6_17})+sum(${female_18_59})+sum(${female_60}),,,,,,,,,,,,,
calculate,tot_6_above,,,,,,,,,,,(${male_6_17_calc} + ${female_6_17_calc} + ${male_18_59_calc} + ${female_18_59_calc} + ${male_60_calc} + ${female_60_calc}),,,,,,,,,,,,,
note,tot_calc_note,"Total number of male: ${tot_male}
Total number of female: ${tot_female}","مجموع عدد الذكور ${tot_male}
مجموع عدد الاناث ${tot_female}",,,,,,,,,,,,,,,,,,,,,,
calculate,calc_separated,,,,,,,,,,,sum(${separated}),,,,,,,,,,,,,
note,ref_child,There may be one or more separated or unaccompanied children living in this household. Please refer to the Iraq Information Centre (IIC) hotline 800 6 9999.,قد يكون هناك طفل واحد أو أكثر من الأطفال المنفصلين عن ذويهم والذين يعيشون في هذه الأسرة. يرجى الرجوع الى رقم الخط الساخن لمركز معلومات العراق    ICC) 800 6 9999)     ,,,,${calc_separated} >0,,,,,,,,,,,,,,,,,,
select_multiple reasons_not_attend,reasons_not_attend,"30. If one of the persons (6-17) was not attending school prior to the COVID-19 outbreak, what were the reasons?","إذا لم يذهب أحد الأشخاص (6-17 سنة ) إلى المدرسة قبل تفشي الفيروس ، ماذا كانت اسباب ذلك؟",,,true,sum(${child_not_school})>=1,,,,,,,,,,,,,,,,,,
text,resons_not_attend_other,"30.1 if other, please describe","اذا اخرى، الرجاء التحديد",,,true,"selected(${reasons_not_attend}, 'other')",,,,,,,,,,,,,,,,,,
select_one yndd,not_residing,"31. Do you have any other child, son or daughter under 18 years not living in the HH?",هل لديك اي طفل آخر  او ابن او ابنة تحت سن ال18 ولكنه لا يعيش ضمن الاسرة؟,,,true,,,,,,,,,,,,,,,,,,,
integer,not_residing_num,"31.1 If yes, how many?","اذا نعم، كم عددهم",,,true,"selected(${not_residing}, 'yes')",,,,,,,,,,,,,,,,,,
begin_group,not_residing_reason,Children not residing in HH by reason,الاطفال الذين لا يعيشون ضمن الاسرة مع السبب,,,,"selected(${not_residing}, 'yes')",,,,,,field-list,,,,,,,,,,,,
note,not_residing_reason_note,"32. We would like to understand why those children are not living under your roof. I read you a list of possibilities, let me know if any of these apply:","نود ان نفهم سبب عدم عيش هؤلاء الاطفال ضمن اسرتك ( تحت سقف اسرتك)، سأقرأ عليك لائحة الاحتمالات، اعلمني اذا كان اي منها ينطبق عليك:",,,,,,,,,,,,,,,,,,,,,,
integer,married,32.1 Married and left the house,تزوج وغادر المنزل,,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
integer,seek_employment,32.2 Left the house to seek employment,غادر المنزل للبحث عن عمل,,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
integer,study,32.3 Left the house to study,غادر المنزل للدراسة,,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
integer,family,32.4 Staying with relatives or friends,البقاء مع الاقارب او الاصدقاء,,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
integer,armed_actors,32.5 Left the house to engage with the army or armed groups,غادر المنزل للالتحاق بالجيش او مجموعة مسلحة,,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
integer,kidnapped,32.6 Kidnapped/abducted,تم خطفه,,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
integer,missing,32.7 Missing (left and no news),مفقود ( غادر ولا توجد اخبار عنه),,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
integer,detained,32.8 Arbitrarily detained,تم اعتقاله بشكل تعسفي,,,,,,.<=${not_residing_num},The number cannot be higher than the total number of children not residing in the household,لا يمكن أن يكون الرقم أعلى من إجمالي عدد الأطفال غير المقيمين في الأسرة,,,,,,,,,,,,,,
end_group,not_residing_reason,,,,,,,,,,,,,,,,,,,,,,,,
select_multiple employment_barriers,employment_primary_barriers,"33. What obstacles, if any, are people in this household facing in finding work?","ما هي العقبات ، إن وجدت ، التي يواجهها أفراد هذه الأسرة في العثور على عمل؟",,,true,sum(${adult_no_work})>=1,,"if(selected(.,'none'), count-selected(.)=1, count-selected(.)>=1)","Cannot select ""none"" together with any other option",لا ينبغي تحديد ( لاشيئ ) مع خيار آخر,,,,,,,,,,,,,,
text,employment_primary_barriers_other,"33.1 if other, please describe",اذا اخرى الرجاء الوصف,,,true,"selected(${employment_primary_barriers}, 'other')",,,,,,,,,,,,,,,,,,
begin_group,food_security,Food Security Survey,أمن الغذاء,,,,,,,,,,,,,,,,,,,,,,
begin_group,food_consumption,Food Consumption,استهلاك الغذاء,,,,,,,,,,field-list,,,,,,,,,,,,
note,food_security_note,"34. Over the last 7 days, how many days did your household consume the following food?","على مدى ال7 أيام الماضية, كم يوما كانت اسرتك تستهلك الأطعمة التالية:",,,,,,,,,,,,,,,,,,,,,,
integer,cereals,"34.1 Cereals, grains, roots and tubers: rice, pasta, bread, potato,",الحبوب والجذور والدرنات: الأرز والمعكرونة والخبز والبطاطا,,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,nuts_seed,"34.2 Legumes / nuts : beans, peanuts, lentils, nut, soy, and / or other nuts","البقوليات : الفاصوليا ، الفول السوداني ، العدس ، البندق ، الصويا ، و / أو المكسرات الأخرى",,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,milk_dairy,"34.3 Milk and other dairy products: fresh milk / sour, yogurt, cheese, other dairy products (Exclude margarine / butter or small amounts of milk for tea / coffee)",الحليب ومنتجات الألبان الأخرى: الحليب الطازج / الحامض واللبن الزبادي والجبن وغيرها من منتجات الألبان (باستثناء المارجرين / الزبد أو كميات صغيرة من الحليب للشاي / القهوة),,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,meat,"34.4 Meat, fish and eggs: goat, beef, chicken, fish, including canned tuna, and / or other seafood, eggs (meat and fish consumed in large quantities and not as a condiment)","اللحوم والأسماك والبيض: لحم الماعز ولحم البقر والدجاج والأسماك ، بما في ذلك التونة المعلبة ، و / أو غيرها من المأكولات البحرية والبيض (اللحوم والأسماك المستهلكة بكميات كبيرة وليس بهار)",,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,vegetables,"34.5 Vegetables and leaves: spinach, onion, tomatoes, carrots, peppers, green beans, lettuce, cabbages, egg plants, etc","الخضار و الخضروات الورقية: السبانخ ، البصل ، الطماطم ، الجزر ، الفلفل ، الفاصوليا الخضراء ، الخس ، الكرنب ، الباذنجان ، الخ",,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,fruits,"34.6 Fruits: banana, apple, lemon, mango, watermelon, apricot, peach, pineapple, passion, gishta, orange, avocado, wild fruits etc",الفواكه: الموز والتفاح والليمون والمانجو والبطيخ والمشمش والخوخ والأناناس والبرتقال والأفوكادو والفاكهة البرية الخ,,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,oil_fats,"34.7 Oil / fat / butter: vegetable oil, palm oil, margarine, other fats / oil",الزيوت / الدهون / الزبدة: الزيت النباتي وزيت النخيل والسمن والدهون الأخرى / الزيت,,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,sweets,"34.8 Sugar, or sweet: sugar, honey, jam, cakes, candy, cookies, pastries, cakes and other sweet (sugary drinks)","السكر ، أو الحلو: السكر ، والعسل ، والمربى ، والكعك ، والحلوى  وغيرها من الحلويات (المشروبات السكرية)",,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
integer,spices_condiments,"34.9 Condiments / Spices: tea, coffee / cocoa, salt, garlic, spices, yeast / baking powder, lanwin, tomato / sauce, meat or fish as a condiment, condiments including small amount of milk / tea coffee.","التوابل / البهارات: الشاي ، القهوة / الكاكاو ، الملح ، الثوم ، البهارات ، الخميرة / مسحوق الخبز ، اللانوين ، الطماطم / الصلصة ، اللحم أو السمك كبهار ، التوابل بما في ذلك كمية صغيرة من القهوة / الشاي.",,,true,,,.>=0 and .<=7,,,,,,,,,,,,,,,,
end_group,fcs,,,,,,,,,,,,,,,,,,,,,,,,
select_one food_source,food_source,35. What was the main source of food in the past 7 days?,ماذا كان المصدر الرئيسي للطعام خلال ال 7 ايام الماضية؟,Do not read out the list, لا تقرأ من القائمة,true,,,,,,,,,,,,,,,,,,,
text,food_source_other,"35.1 if other, please describe",اذا اخرى الرجاء الوصف,,,true,"selected(${food_source}, 'other')",,,,,,,,,,,,,,,,,,
select_one yn,no_food,"36. In the past 30 days, was there ever no food to eat of any kind in your house because of lack of resources to get food?","في الثلاثين يومًا الماضية ، ألم يكن هناك أي طعام تأكله من أي نوع في منزلك بسبب نقص الموارد للحصول على الطعام؟",,,true,,,,,,,,,,,,,,,,,,,
select_one frequency,no_food_freq,36.1 How often did this happen in the past 30 days?,كم مرة حدث هذا خلال الثلاثين يومًا الماضية؟,,,true,"selected(${no_food}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yn,hungry,"37. In the past 30 days, did you or any household member go to sleep at night hungry because there was not enough food?","في الثلاثين يومًا الماضية ، هل نمت أنت أو أي فرد من أفراد الأسرة  ليلًا بسبب الجوع لعدم وجود طعام كافٍ؟",,,true,,,,,,,,,,,,,,,,,,,
select_one frequency,hungry_freq,37.1 How often did this happen in the past 30 days?,كم مرة حدث هذا خلال الثلاثين يومًا الماضية؟,,,true,"selected(${hungry}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yn,not_eating,"38. In the past 30 days, did you or any household member go a whole day and night without eating anything at all because there was not enough food?","في الثلاثين يومًا الماضية ، هل قضيت أنت أو أي فرد من أفراد أسرتك طول النهار والليل دون تناول أي شيء على الإطلاق لأنه لم يكن هناك ما يكفي من الطعام؟",,,true,,,,,,,,,,,,,,,,,,,
select_one frequency,not_eating_freq,38.1 How often did this happen in the past 30 days?,كم مرة حدث هذا خلال الثلاثين يومًا الماضية؟,,,true,"selected(${not_eating}, 'yes')",,,,,,,,,,,,,,,,,,
begin_group,coping_strategies_food2,Coping Strategies Food,طرق التعامل مع نقص الغذاء,,,,,,,,,,field-list,,,,,,,,,,,,
note,livelihood_strategies,"39. During the past 30 days, did anyone in your household have to do one of the following things because there was not enough food or money to buy it?","خلال الثلاثين يومًا الماضية ، هل اضطر أي شخص في منزلك إلى القيام بأحد الأمور التالية لعدم وجود ما يكفي من الطعام أو المال لشرائه؟",,,,,,,,,,,,,,,,,,,,,,
select_one nnny,selling_assets,"39.1 Selling household properties (refrigerator, television, jewelry…)",بيع مقتنيات الاسرة (ثلاجة او تلفاز او مجوهرات),,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,borrow_debt,39.2 Buying food on credit or through borrowed money from relatives and friends,شراء الطعام بالدّين أو من خلال الأموال المقترضة من الأقارب والأصدقاء,,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,selling_transportation_means,"39.3 Selling means of transport (car, motorbike","بيع وسائل النقل (سيارة ، دراجة نارية",,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,child_dropout_school,39.4 Children dropout from school,اخراج الأطفال من المدرسة,,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,reduce_spending,"39.5 Reducing expenditure on non-food items (health, education)",خفض الإنفاق على المواد غير الغذائية (الصحة والتعليم),,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,spending_savings,39.6 Spending savings,انفاق المدخرات,,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,change_place,39.7 Changing place of residence and accommodation to reduce expenses,تغيير مكان الإقامة لتقليل النفقات,,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,adult_risky,39.8 Accepting that adults engage in risky behavior,قبول مشاركة البالغين في سلوك  او اعمال محفوفة بالمخاطر,,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,child_work,39.9 Children under 18 work to provide resources,عمل الأطفال تحت سن 18 عامًا لتوفير الموارد,,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,family_migrating,39.10 Whole family are migrating,ستهاجر العائلة كلها,,,true,,,,,,,,,,,,,,,,,,,
select_one nnny,child_forced_marriage,39.11 Children or adult forcefully marriaged,زواج الاطفال او البالغين بالقوة,,,true,,,,,,,,,,,,,,,,,,,
end_group,coping_strategies_food2,,,,,,,,,,,,,,,,,,,,,,,,
end_group,food_security,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,health_group,Health Survey,الصحة,,,,,,,,,,,,,,,,,,,,,,
begin_group,disabilities,Disabilities,الاعاقة,,,,,,,,,,field-list,,,,,,,,,,,,
note,disabilities_note,40. Please indicate if any members of your household have any of the following difficulties:,يرجى توضيح ما إذا كان أي من أفراد أسرتك يواجه أي من الصعوبات التالية:,,,,,,,,,,,,,,,,,,,,,,
select_one wgss,difficulty_seeing,"40.1 Does any member of your household have difficulty seeing, even if wearing glasses?","هل يواجه اي شخص من افراد اسرتك صعوبة في الرؤية (الابصار)، حتى عند وضع نظارات ؟",,,true,,,,,,,,,,,,,,,,,,,
select_one wgss,difficulty_hearing,"40.2 Does any member of your household have difficulty hearing, even if using a hearing aid?","هل يواجه اي شخص من افراد اسرتك صعوبة في السمع ، حتى لو كان يستخدم أداة مساعدة للسمع؟",,,true,,,,,,,,,,,,,,,,,,,
select_one wgss,difficulty_walking,40.3 Does any member of your household have difficulty walking or climbing steps?,هل يواجه اي شخص من افراد اسرتك صعوبة في المشي أو تسلق الدَرج؟,,,true,,,,,,,,,,,,,,,,,,,
select_one wgss,difficulty_remembering,40.4 Does any member of your household have difficulty remembering or concentrating?,هل يواجه اي شخص من افراد اسرتك صعوبة في التذكر أو التركيز؟,,,true,,,,,,,,,,,,,,,,,,,
select_one wgss,difficulty_washing,"40.5 Does [this person] have difficulty with (self-care, such as) washing all over or dressing?","هل يواجه اي شخص من افراد اسرتك صعوبة في (العناية الذاتية ، مثل) الاغتسال أو ارتداء الملابس؟",,,true,,,,,,,,,,,,,,,,,,,
select_one wgss,difficulty_communicating,"40.6 Using your usual (customary) language, does any member of your householdhave difficulty communicating, for example understanding or being understood?","باستخدام لغتك (المعتادة) ، هل يواجه اي شخص من افراد اسرتك صعوبة في التواصل ، على سبيل المثال الفهم أو التفهم؟",,,true,,,,,,,,,,,,,,,,,,,
end_group,disabilities,,,,,,,,,,,,,,,,,,,,,,,,
select_one yndd,difficulty_accessing_services,"41. Does any member of your household face difficulties in accessing any basic services (e.g education, health clinics, markets, etc.) due to his/her difficulty",هل يواجه اي شخص من افراد اسرتك صعوبات في الوصول إلى أي خدمات أساسية (مثل التعليم والعيادات الصحية والأسواق وما إلى ذلك),,,true,"selected(${difficulty_seeing},'a_lot_of_difficulty') or selected(${difficulty_seeing},'cannot_do_at_all') or selected(${difficulty_hearing},'a_lot_of_difficulty') or selected(${difficulty_hearing},'cannot_do_at_all') or selected(${difficulty_walking},'a_lot_of_difficulty') or selected(${difficulty_walking},'cannot_do_at_all') or selected(${difficulty_remembering},'a_lot_of_difficulty') or selected(${difficulty_remembering},'cannot_do_at_all') or selected(${difficulty_washing},'a_lot_of_difficulty') or selected(${difficulty_washing},'cannot_do_at_all') or selected(${difficulty_communicating},'a_lot_of_difficulty') or selected(${difficulty_communicating},'cannot_do_at_all')",,,,,,,,,,,,,,,,,,
select_one distance,distance_clinic,42. How long does it take you to reach the nearest healthcare facility by walking?,كم من الوقت يستغرق الوصول إلى أقرب مرفق للرعاية الصحية عن طريق المشي؟,30 minutes walking = 2 km (approximately),دقيقة مشي أي مايعادل 2كم بشكل تقريبي30,true,,,,,,,,,,,,,,,,,,,
select_one distance,distance_hospital,43. How long does it take you to reach the nearest functioning hospital by walking?,كم من الوقت يستغرق الوصول إلى أقرب مستشفى يعمل عن طريق المشي؟,30 minutes walking = 2 km (approximately),دقيقة مشي أي مايعادل 2كم بشكل تقريبي30,true,,,,,,,,,,,,,,,,,,,
begin_group,hospital_ser,Hospital Services,,,,,,,,,,,field-list,,,,,,,,,,,,
select_one ynd,hospital_emergency_ser,43.1 Does the hospital provide emergency services?,هل يقدم المشفى خدمات للطوارئ؟,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd,hospital_maternity_ser,43.2 Does the hospital provide maternity services?,هل يقدم هذا المشفى خدمات الامومة؟,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd,hospital_surgical_ser,43.3 Does the hospital provide surgical services?,هل يقدم المشفى خدمات عمليات؟,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd,hospital_pediatric_ser,43.4 Does the hospital provide pediatric services?,هل يقدم المشفى خدمات طب الاطفال؟,,,true,,,,,,,,,,,,,,,,,,,
end_group,hospital_ser,,,,,,,,,,,,,,,,,,,,,,,,
select_one yndd,women_specialised_services,46. Do women of reproductive age (12-49) have access to specialized reproductive health services?,هل تحصل النساء في سن الإنجاب (12-49) سنة على خدمات الصحة الانجابية المتخصصة لهم؟,,,true,,,,,,,,,,,,,,,,,,,
select_one yes_no,hh_member_distress,"47. Has any member of your household suffered or showed signs of psychosocial distress or trauma such as nightmare, lasting sadness, extreme fatigue, being often tearful or extreme anxiety, in the last 30 days?"," هل عانى أي فرد من أفراد أسرتك أو أظهر علامات على الاضطراب النفسي أو الصدمة مثل الكابوس والحزن الدائم والإرهاق الشديد ، والقلق الشديد في كثير من الأحيان للدموع أو القلق الشديد ، في آخر 30 يومًا؟",,,true,,,,,,,,,,,,,,,,,,,
integer,child_distress_number,"47.1 If yes, how many persons under 18 years showed those signs?","إذا كانت الإجابة بنعم ، فكم من الأشخاص الذين تقل أعمارهم عن 18 سنة أظهروا تلك العلامات؟",,,true,"selected(${hh_member_distress},'yes')",,.<=${num_hh_member},Number cannot be bigger than household size,ا يمكن أن يكون الرقم أكبر من عدد الأشخاص  الأسرة,,,,,,,,,,,,,,
integer,adult_distress_number,"47.2 If yes, how many persons above 18 years showed those signs?","إذا كانت الإجابة بنعم ، فكم من الأشخاص الذين تجاوزوا 18 عامًا أظهروا تلك العلامات؟",,,true,"selected(${hh_member_distress},'yes')",,.<=((${num_hh_member}-${child_distress_number})),Number cannot be bigger than household size,ا يمكن أن يكون الرقم أكبر من عدد الأشخاص  الأسرة,,,,,,,,,,,,,,
select_one yndd,health_accessed,"48. In the last three months, has anyone in your household needed to access health services or treatment (including medicines)","في الأشهر الثلاثة الأخيرة ، هل احتاج أي شخص في منزلك للوصول إلى الخدمات الصحية أو العلاج (بما في ذلك الأدوية)",,,true,,,,,,,,,,,,,,,,,,,
select_multiple health_barriers,health_barriers,"48.1 What difficulties, if any, are encountered when attempting to access health services or treatment?","ما الصعوبات ، إن وجدت ، التي واجهتها عند الوصول إلى الخدمات الصحية أو العلاج؟",,,true,"selected(${health_accessed},'yes')",,"not(selected(.,'no_issues') and count-selected(.)>1) ","Cannot select ""None"" together with any other option",لا ينبغي تحديد ( لاشيئ ) مع خيار آخر,,,,,,,,,,,,,,
select_one explosive,injured_explosive,"49. Has anyone in your household been injured or killed by an explosive ordnance since 2014 (e.g. landmines, bombs, missiles, IEDs, bullets or other explosive weapons from conflict)?",هل أصيب أحد أفراد أسرتك أو قتل بسبب ذخائر متفجرة منذ عام 2014 (مثل الألغام الأرضية أو القنابل أو الصواريخ أو العبوات الناسفة أو الرصاص أو الأسلحة المتفجرة الأخرى من الصراع)؟,,,true,,,,,,,,,,,,,,,,,,,
end_group,health_group,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,wash,WASH Survey,الغسل,,,,,,,,,,,,,,,,,,,,,,
select_one water_source,drinking_water_source,50. What is the main source of water used by your household for drinking?,ماهو المصدر الرئيسي لمياه الشرب للاسرة  ( اختر ماينطبق),,,true,,,,,,,,,,,,,,,,,,,
text,drinking_water_source_other,"50.1 If other, please specify",اذا اخرى الرجاء الوصف,,,true,"selected(${drinking_water_source},'other')",,,,,,,,,,,,,,,,,,
select_one water_treating,treat_drink_water,51. Does your household treat the water in any way to make it safer for drinking?,هل تعالج أسرتك المياه بأي طريقة لجعلها أكثر أمانًا للشرب؟,,,true,"not(selected(${drinking_water_source},'shop'))",,,,,,,,,,,,,,,,,,
select_multiple why_safer_drinking,treat_drink_water_why,51.1 Why do you feel the need to treat it,لماذا تحتاج الى معالجة المياه او فلترتها؟,,,true,"not(selected(${drinking_water_source},'shop')) and (selected(${treat_drink_water},'always') or selected(${treat_drink_water},'sometimes'))",,"not(selected(.,'none') and count-selected(.)>1)","Cannot select ""None"" together with any other option",لا ينبغي تحديد ( لاشيئ ) مع خيار آخر,,,,,,,,,,,,,,
begin_group,water_sufficiency,Water Sufficiency,كفاية المياه,,,,,,,,,,field-list,,,,,,,,,,,,
note,sufficient_water,52. Does your household currently have enough water to meet the following needs?,هل تمتلك أسرتك حاليا ما يكفي من الماء لتلبية الاحتياجات التالية؟,,,,,,,,,,,,,,,,,,,,,,
select_one ynd1,sufficient_water_drinking,52.1 Drinking,الشرب,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd1,sufficient_water_cooking,52.2 Cooking,الطبخ,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd1,sufficient_water_hygiene,52.3 Personal hygiene (washing or bathing), النظافة الشخصية (الغسيل أو الاستحمام),,,true,,,,,,,,,,,,,,,,,,,
select_one ynd1,sufficient_water_other,"52.4 Other domestic purposes (cleaning house, floor, etc.)"," الأغراض المنزلية الأخرى (تنظيف المنزل ، الأرضية ، إلخ.)",,,true,,,,,,,,,,,,,,,,,,,
end_group,water_sufficiency,,,,,,,,,,,,,,,,,,,,,,,,
select_one latrines,latrines,53.What kind of sanitation facility (latrine/toilet) does your household usually use?,مانوع المرحاض او التواليت الذي تستعمله اسرتك عادةً؟,,,true,,,,,,,,,,,,,,,,,,,
text,latrines_other,"53.1 If other, please specify",اذا اخرى الرجاء الوصف,,,true,"selected(${latrines}, 'other')",,,,,,,,,,,,,,,,,,
select_one yes_no,shared_sanitation,53.2. Do you share this sanitation facility (latrine or toilet) with other households?,هل تتشاركون في هذه المرفق ( التواليت او المرحاض) مع اي أسر اخرى؟,,,true,"not(selected(${latrines},'none'))",,,,,,,,,,,,,,,,,,
select_one satisfaction,access_hygiene_items,"54. How satisfied is your household with regards to access to hygiene items (soap, feminine hygiene products, baby diapers, toothpaste/brush)?","ما مدى رضا أسرتك عن الوصول إلى مواد النظافة (الصابون ، منتجات النظافة الأنثوية ، حفاضات الأطفال ، معجون الأسنان / الفرشاة)؟",,,true,,,,,,,,,,,,,,,,,,,
select_one yes_no,access_soap,55. Do you have any soap in your household?,هل لديكم صابون للاسرة؟,,,true,,,,,,,,,,,,,,,,,,,
select_multiple use_of_soap,use_of_soap,"55.1 If yes, what do you use it for?","اذا نعم، بماذا تستخدم الصابون؟",,,true,"selected(${access_soap},'yes')",,"if(selected(.,'not'), count-selected(.)=1, count-selected(.)>=1)","Cannot select ""None"" together with any other option",لا ينبغي تحديد ( لاشيئ ) مع خيار آخر,,,,,,,,,,,,,,
text,use_of_soap_other,"55.2 If other, please specify",اذا اخرى الرجاء الوصف,,,true,"selected(${use_of_soap}, 'other')",,,,,,,,,,,,,,,,,,
end_group,wash,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,s_nfi,Shelter & NFI survey,السكن والمواد الغير غذائية,,,,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
select_one shelter_type,shelter_type_inperson,53. What type of shelter is the household currently living in? (observation by enumerator),مانوع المسكن الذي تعيش فيه حاليا؟ ( عن طريق الملاحظة من قبل الموظف),,,true,"selected(${dc_method}, 'in_person')",,,,,,,,,,,,,,,,,,
select_one shelter_type,shelter_type_remote,53. Could you describe the type of shelter that your household is currently living in?,هل يمكنك وصف نوع المسكن الذي تعيش فيه أسرتك حاليًا؟,,,true,"selected(${dc_method}, 'remote')",,,,,,,,,,,,,,,,,,
text,shelter_type_other,"53.1 If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف",,,true,"selected(${shelter_type_inperson}, 'other') or selected(${shelter_type_remote}, 'other')",,,,,,,,,,,,,,,,,,
select_multiple enclosure_issues,enclosure_issues,54. Does the shelter have any of the following enclosure issues?  (top 2),هل يحتوي الملجأ او المسكن على أي من القضايا التالية؟ اختر اهم 2,,,true,,,"not(selected(.,'none') and count-selected(.)>1) and count-selected(.)<=2","You can select max 2 option and cannot select ""None"" and any other option.","لا ينبغي تحديد ( لاشيئ ) مع خيار آخر، اختر 2 كحد اقصى",,,,,,,,,,,,,,
select_multiple shelter_better,shelter_better,55. What are your priority needs to make your current shelter a better place to live (top 2)?,ما هي احتياجاتك ذات الأولوية  لجعل مسكنك الحالي مكانًا أفضل للعيش فيه ؟ اختر اهم 2,,,true,,,"not(selected(.,'none') and count-selected(.)>1) and count-selected(.)<=2","You can select max 2 option and cannot select ""None"" and any other option.","لا ينبغي تحديد ( لاشيئ ) مع خيار آخر، اختر 2 كحد اقصى",,,,,,,,,,,,,,
text,shelter_better_other,"55.1 If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف",,,true,"selected(${shelter_better}, 'other')",,,,,,,,,,,,,,,,,,
select_multiple nfi_needs,nfi_priority_needs,56. Please indicate which of the following items you need but do not have in your household (select max. 2),"أي من المواد التالية التي تحتاج الى شرائها لعدم امتلاكك ما يكفي منها، أو لا تملك منها على الإطلاق ( اختار 2 كحد اقصى)",,,true,,,"not(selected(.,'none') and count-selected(.)>1) and count-selected(.)<=2","You can select max 2 option and cannot select ""none"" and any other option.","لا ينبغي تحديد ( لاشيئ ) مع خيار آخر، اختر 2 كحد اقصى",,,,,,,,,,,,,,
text,nfi_priority_needs_other,"56.1 If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف",,,true,"selected(${nfi_priority_needs}, 'other')",,,,,,,,,,,,,,,,,,
end_group,s_nfi,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,education,Education survey,التعليم,,,,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
select_one place_primary,primary_school_place,57. How far is the closest functioning primary school to your location?,كم تبعد اقرب مدرسة ابتدائية تعمل في موقعك؟,30 minutes walking = 2 km (approximately),دقيقة مشي أي مايعادل 2كم بشكل تقريبي30,true,,,,,,,,,,,,,,,,,,,
select_one place_secondary,secondary_school_place,58. How far is the closest functioning secondary school to your location?,كم تبعد اقرب مدرسة متوسطة تعمل في موقعك؟,30 minutes walking = 2 km (approximately),دقيقة مشي أي مايعادل 2كم بشكل تقريبي30,true,,,,,,,,,,,,,,,,,,,
integer,covid_dropout,"59. Prior to the COVID-19 outbreak, how many school-aged children in your household dropped out of school during the current school year (2019-2020)?"," قبل بدء فيروس كورونا COVID-19 ، كم عدد الأطفال الذين هم في سن الدراسة في أسرتك ممن تركوا المدرسة ؟",Enter 0 if none,أدخل 0 إذا لم يكن هناك اي شيء,true,,,.<=${num_hh_member},Number cannot be bigger than household size,ا يمكن أن يكون الرقم أكبر من عدد الأشخاص  الأسرة,,,,,,,,,,,,,,
